chain_id,pdb,uniprot,genes,location,function1,function2,species
10,1cca.A,P00431,CCP1 CCP CPO YKR066C,Mitochondrion matrix. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.,Destroys radicals which are normally produced within the cells and which are toxic to biological systems.,cytochrome-c peroxidase activity [GO:0004130]; heme binding [GO:0020037]; metal ion binding [GO:0046872],0
11,1cfy.A,Q03048,COF1 YLL050C L0596,"Cytoplasm {ECO:0000269|PubMed:10231390}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:10231390}. Nucleus matrix {ECO:0000269|PubMed:10231390}. Note=Throughout the cytoplasm (but not on the cytoplasmic cables) and major component of the cortical actin cytoskeleton.","Controls reversibly actin polymerization and depolymerization in a pH-sensitive manner. It has the ability to bind G- and F-actin in a 1:1 ratio of cofilin to actin. Binding to F-actin is regulated by tropomyosin. It is the major component of intranuclear and cytoplasmic actin rods. Required for accumulation of actin at the cell division site via depolymerizing actin at the cell ends. In association with myosin II has a role in the assembly of the contractile ring via severing actin filaments. Involved in the maintenance of the contractile ring once formed. In association with profilin and capping protein, has a role in the mitotic reorganization of the actin cytoskeleton. In effect, yeast cofilin increases the rate of actin polymerization by making new ends available for actin subunit addition. Such a protein complex is important for the polarized growth of yeast cells. {ECO:0000269|PubMed:10231390, ECO:0000269|PubMed:11747431}.",actin filament binding [GO:0051015],0
12,1cg7.A,P11632,NHP6A NHPA YPR052C YP9499.09C,Nucleus. Chromosome. Note=Colocalizes with both RNA polymerase II and some regions that are not transcribed on chromatin.,"DNA-binding protein that induces severe bending of DNA. Required for DNA-binding by the FACT complex, a general chromatin factor that acts to reorganize nucleosomes. The FACT complex is involved in multiple processes that require DNA as a template such as mRNA elongation, DNA replication and DNA repair. Also augments the fidelity of transcription by RNA polymerase III independently of any role in the FACT complex. Required for transcriptional initiation fidelity of some but not all tRNA genes. Seems to be functionally redundant with NHP6B. {ECO:0000269|PubMed:11118215, ECO:0000269|PubMed:11239460, ECO:0000269|PubMed:11287614, ECO:0000269|PubMed:11432837, ECO:0000269|PubMed:12952948, ECO:0000269|PubMed:14585989, ECO:0000269|PubMed:15082784, ECO:0000269|PubMed:15987999, ECO:0000269|PubMed:16407207, ECO:0000269|PubMed:7721780, ECO:0000269|PubMed:8946917}.","DNA binding, bending [GO:0008301]; nucleosome binding [GO:0031491]",0
13,1ci0.A,P38075,PDX3 YBR035C YBR0321,Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.,Catalyzes the oxidation of either pyridoxine 5'-phosphate (PNP) or pyridoxamine 5'-phosphate (PMP) into pyridoxal 5'-phosphate (PLP).,FMN binding [GO:0010181]; pyridoxamine-phosphate oxidase activity [GO:0004733],0
14,1cmx.A,P35127,YUH1 YJR099W J1941,,"Deubiquitinating enzyme (DUB) that controls levels of cellular ubiquitin through processing of ubiquitin precursors and ubiquitinated proteins. Thiol protease that recognizes and hydrolyzes a peptide bond at the C-terminal glycine of either ubiquitin or RUB1. Preferentially cleaves ubiquitin from peptides and small adducts. {ECO:0000269|PubMed:12455997, ECO:0000269|PubMed:17709260, ECO:0000269|PubMed:21762696, ECO:0000269|PubMed:2555355}.",thiol-dependent ubiquitin-specific protease activity [GO:0004843],0
15,1cpy.A,P00729,PRC1 YMR297W,"Vacuole {ECO:0000269|PubMed:14562095, ECO:0000269|PubMed:23708375}.","Involved in degradation of small peptides. Digests preferentially peptides containing an aliphatic or hydrophobic residue in P1' position, as well as methionine, leucine or phenylalanine in P1 position of ester substrate. {ECO:0000269|PubMed:8679540}.",serine-type carboxypeptidase activity [GO:0004185],0
16,1d1q.A,P40347,LTP1 YPR073C YP9499.28C,Cytoplasm.,"Acts on tyrosine phosphorylated proteins, low-MW aryl phosphates and natural and synthetic acyl phosphates. {ECO:0000250}.",acid phosphatase activity [GO:0003993]; protein tyrosine phosphatase activity [GO:0004725],0
17,1dpj.A,P07267,PEP4 PHO9 PRA1 YPL154C P2585,Vacuole. Note=Lysosome-like vacuoles.,"Aspartyl protease implicated in the post-translational regulation of S.cerevisiae vacuolar proteinases. Acts on YSCB, on YSCY and on itself.",aspartic-type endopeptidase activity [GO:0004190]; disordered domain specific binding [GO:0097718]; oligosaccharide binding [GO:0070492]; peptidase activity [GO:0008233],0
18,1dzf.A,P20434,RPB5 RPA7 RPC9 YBR154C YBR1204,Nucleus.,"DNA-dependent RNA polymerases catalyze the transcription of DNA into RNA using the four ribonucleoside triphosphates as substrates. Common component of RNA polymerases I, II and III which synthesize ribosomal RNA precursors, mRNA precursors and many functional non-coding RNAs, and small RNAs, such as 5S rRNA and tRNAs, respectively. Pol II is the central component of the basal RNA polymerase II transcription machinery. RNA polymerase complexes are composed of mobile elements that move relative to each other. In Pol II, RPB5 is part of the lower jaw surrounding the central large cleft and thought to grab the incoming DNA template. Seems to be the major component in this process. {ECO:0000269|PubMed:18160037, ECO:0000269|PubMed:24153182, ECO:0000269|PubMed:24153184}.",DNA binding [GO:0003677]; RNA polymerase I activity [GO:0001054],0
19,1edz.A,Q02046,MTD1 YKR080W YKR400,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,Catalyzes oxidation of cytoplasmic one-carbon units for purine biosynthesis.,methylenetetrahydrofolate dehydrogenase (NAD+) activity [GO:0004487],0
20,1ejb.A,P50861,RIB4 YOL143C,Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.,"Catalyzes the formation of 6,7-dimethyl-8-ribityllumazine by condensation of 5-amino-6-(D-ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin. {ECO:0000269|PubMed:7559556, ECO:0000269|PubMed:8969176}.","6,7-dimethyl-8-ribityllumazine synthase activity [GO:0000906]",0
21,1ek0.A,P36017,VPS21 VPS12 VPT12 YPT21 YPT51 YOR089C YOR3154C,"Endosome membrane {ECO:0000269|PubMed:10679018, ECO:0000269|PubMed:12589066}; Lipid-anchor {ECO:0000305}. Mitochondrion membrane {ECO:0000269|PubMed:14576278}; Lipid-anchor {ECO:0000305}.","Required for protein transport to the vacuole. Involved in two vesicle trafficking steps to the prevacuolar compartment (PVC), regulating the docking of endosomes and Golgi vesicles to the PVC by interacting with PEP7/VAC1 on the PVC membrane and promoting SNARE complex formation. {ECO:0000269|PubMed:10679018, ECO:0000269|PubMed:8137814}.",GTPase activity [GO:0003924]; GTP binding [GO:0005525],0
22,1eq6.A,P47123,MOG1 YJR074W J1827,"Nucleus {ECO:0000269|PubMed:11509570, ECO:0000269|PubMed:9860978}.","Involved in the Ran-GTPase system for nuclear protein import and poly(A)+ mRNA export. {ECO:0000269|PubMed:11509570, ECO:0000269|PubMed:9860978}.",Ran GTPase binding [GO:0008536],0
23,1f1g.A,P00445,SOD1 YJR104C J1968,"Cytoplasm {ECO:0000269|PubMed:11500508}. Mitochondrion intermembrane space {ECO:0000269|PubMed:11500508, ECO:0000269|PubMed:22984289}. Note=A small percentage (around 1-5 percent) localizes to the mitochondrial intermembrane space.",Destroys radicals which are normally produced within the cells and which are toxic to biological systems.,copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]; zinc ion binding [GO:0008270],0
24,1f5m.A,P36088,YKL069W YKL340,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,Catalyzes the reversible oxidation-reduction of the R-enantiomer of free methionine sulfoxide to methionine. Does not act on S-enantiomer of free methionine sulfoxide or R-enantiomer of dabsylated methionine sulfoxide. Involved in protection against oxidative stress. {ECO:0000269|PubMed:19049972}.,L-methionine-(R)-S-oxide reductase activity [GO:0033745]; methionine-R-sulfoxide reductase activity [GO:0070191],0
25,1f60.A,P02994,TEF1 YPR080W P9513.7; TEF2 YBR118W YBR0913,"Cytoplasm {ECO:0000269|PubMed:14562095}. Cytoplasm, cytoskeleton {ECO:0000269|PubMed:14562095}.","GTP-binding component of the eukaryotic elongation factor 1 complex (eEF1). In its active GTP-bound form, binds to and delivers aminoacyl-tRNA to the A-site of ribosomes during protein biosynthesis. In the presence of a correct codon-anticodon match between the aminoacyl-tRNA and the A-site codon of the ribosome-bound mRNA, the ribosome acts as a GTPase activator and the GTP is hydrolyzed. The inactive GDP-bound form leaves the ribosome and must be recycled by its guanine nucleotide exchange factor (GEF) (eEF1B subcomplex) before binding another molecule of aminoacyl-tRNA. Required for nuclear export of aminoacyl-tRNAs. May also be involved in translational quality control by targeting cotranslationally damaged proteins to the proteasome. Also exhibits actin filament-binding and -bundling activities and is involved in cytoskeleton organization. Plays a role as a negative regulator of GCN2 kinase activity by inhibiting GCN2-mediated eIF-2-alpha phosphorylation in amino acid-repleted cells (PubMed:21849502). {ECO:0000269|PubMed:10766739, ECO:0000269|PubMed:15601860, ECO:0000269|PubMed:21849502, ECO:0000269|PubMed:3066688}.",actin filament binding [GO:0051015]; GDP binding [GO:0019003]; GTPase activity [GO:0003924]; GTP binding [GO:0005525]; protein kinase binding [GO:0019901]; Rho GTPase binding [GO:0017048]; ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746],0
26,1f7u.A,Q05506,YDR341C D9651.10,"Cytoplasm {ECO:0000250|UniProtKB:P54136}. Cytoplasm, cytosol {ECO:0000250|UniProtKB:P54136}.",Forms part of a macromolecular complex that catalyzes the attachment of specific amino acids to cognate tRNAs during protein synthesis. {ECO:0000250}.,arginine-tRNA ligase activity [GO:0004814]; ATP binding [GO:0005524],0
27,1f89.A,P49954,NIT3 YLR351C L9638.5,,"Has a omega-amidase activity. The role of omega-amidase is to remove potentially toxic intermediates by converting 2-oxoglutaramate and 2-oxosuccinamate to biologically useful 2-oxoglutarate and oxaloacetate, respectively. {ECO:0000269|PubMed:28373563}.","hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds [GO:0016810]; omega-amidase activity [GO:0050152]",0
28,1fd8.A,P38636,ATX1 YNL259C N0840,Cytoplasm.,Shuttles copper to the transport ATPase CCC2. Protects against oxygen toxicity.,copper chaperone activity [GO:0016531],0
29,1fi4.A,P32377,MVD1 ERG19 MPD YNR043W N3427,,,ATP binding [GO:0005524]; diphosphomevalonate decarboxylase activity [GO:0004163],0
30,1fpw.A,Q06389,FRQ1 NCS1 YDR373W D9481.6,Bud membrane {ECO:0000269|PubMed:11015193}; Peripheral membrane protein {ECO:0000269|PubMed:11015193}. Note=Buds and bud scars.,Regulator of phosphatidylinositol 4-kinase PIK1. {ECO:0000269|PubMed:10559922}.,calcium ion binding [GO:0005509]; enzyme activator activity [GO:0008047],0
31,1g0u.1,P30657,PRE4 YFR050C,"Cytoplasm {ECO:0000255|PROSITE-ProRule:PRU00809, ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.","The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity. PRE3 and PRE4 are necessary for the peptidyl-glutamyl-peptide-hydrolyzing activity. {ECO:0000269|PubMed:8381431}.",threonine-type endopeptidase activity [GO:0004298],0
32,1g0u.L,P23724,PRE7 PRS3 PTS1 YBL041W YBL0407,Cytoplasm. Nucleus.,"The proteasome degrades poly-ubiquitinated proteins in the cytoplasm and in the nucleus. It is essential for the regulated turnover of proteins and for the removal of misfolded proteins. The proteasome is a multicatalytic proteinase complex that is characterized by its ability to cleave peptides with Arg, Phe, Tyr, Leu, and Glu adjacent to the leaving group at neutral or slightly basic pH. It has an ATP-dependent proteolytic activity.",threonine-type endopeptidase activity [GO:0004298],0
33,1g2q.A,P49435,APT1 YML022W,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,"Catalyzes a salvage reaction resulting in the formation of AMP, that is energically less costly than de novo synthesis. {ECO:0000269|PubMed:9864350}.",adenine phosphoribosyltransferase activity [GO:0003999]; metal ion binding [GO:0046872],0
34,1g6i.A,P32906,MNS1 YJR131W J2110,Endoplasmic reticulum membrane; Single-pass type II membrane protein.,"Involved in glycoprotein quality control as it is important for the targeting of misfolded glycoproteins for degradation. It primarily trims a single alpha-1,2-linked mannose residue from Man(9)GlcNAc(2) to produce Man(8)GlcNAc(2), but at high enzyme concentrations it further trims the carbohydrates to Man(5)GlcNAc(2). {ECO:0000269|PubMed:12090241}.","calcium ion binding [GO:0005509]; mannosyl-oligosaccharide 1,2-alpha-mannosidase activity [GO:0004571]",0
35,1g6q.1,P38074,HMT1 ODP1 RMT1 YBR034C YBR0320,Nucleus {ECO:0000269|PubMed:8668183}.,"S-adenosyl-L-methionine-dependent protein-arginine N-methyltransferase that catalyzes both the mono- and asymmetric (type I) dimethylation of the guanidino nitrogens of arginine residues in a variety of RNA-binding proteins such as heterogeneous nuclear ribonucleoproteins (hnRNPs) and small nuclear ribonucleoproteins (snRNPs) (PubMed:8668183, PubMed:8647869). Methylates NAB2, NPL3, HRP1 and YRA1, shuttling hnRNPs involved in mRNA processing and export, facilitating their export out of the nucleus (PubMed:8668183, PubMed:9499403, PubMed:10652296, PubMed:11779864, PubMed:15314027). Methylation of NPL3 weakens its interaction with THO2, a component of the TREX (transcription/export) complex important for transcriptional elongation and recruitment of mRNA export factors (PubMed:15314027, PubMed:20053728). Methylates the hnRNP HRB1, but does not influence its subcellular location (PubMed:9499403). Methylates the nucleolar proteins GAR1, NOP1 and NSR1 (PubMed:12756332). Methylates the snRNP SNP1 and modulates the cotranscriptional recruitment of splicing factors (PubMed:20823272). Dimethylates free histone H4 (HHF1/HHF2) at 'Arg-4' (H4R3me2a) and plays a role in preservation and establishment of silent chromatin domains (PubMed:12097318, PubMed:17158743). Mono- and dimethylates ribosomal protein S2 (RPS2) at 'Arg-11' (PubMed:20035717). Methylates the catalytic subunit of the SWI/SNF chromatin-remodeling complex SNF2 (PubMed:22997150). {ECO:0000269|PubMed:10652296, ECO:0000269|PubMed:11101900, ECO:0000269|PubMed:11779864, ECO:0000269|PubMed:12097318, ECO:0000269|PubMed:12756332, ECO:0000269|PubMed:15314027, ECO:0000269|PubMed:17158743, ECO:0000269|PubMed:20035717, ECO:0000269|PubMed:20053728, ECO:0000269|PubMed:20823272, ECO:0000269|PubMed:22997150, ECO:0000269|PubMed:8647869, ECO:0000269|PubMed:8668183, ECO:0000269|PubMed:9499403}.",histone-arginine N-methyltransferase activity [GO:0008469]; identical protein binding [GO:0042802]; protein-arginine omega-N asymmetric methyltransferase activity [GO:0035242]; protein-arginine omega-N monomethyltransferase activity [GO:0035241],0
36,1g8f.A,P08536,MET3 YJR010W J1436,"Cytoplasm {ECO:0000255|HAMAP-Rule:MF_03106, ECO:0000269|PubMed:14562095}.","Catalyzes the first intracellular reaction of sulfate assimilation, forming adenosine-5'-phosphosulfate (APS) from inorganic sulfate and ATP. Plays an important role in sulfate activation as a component of the biosynthesis pathway of sulfur-containing amino acids. {ECO:0000255|HAMAP-Rule:MF_03106}.",ATP binding [GO:0005524]; sulfate adenylyltransferase (ATP) activity [GO:0004781],0
37,1gpu.A,P23254,TKL1 YPR074C YP9499.29C,,"Catalyzes the transfer of a two-carbon ketol group from a ketose donor to an aldose acceptor, via a covalent intermediate with the cofactor thiamine pyrophosphate. {ECO:0000269|PubMed:8521838}.",metal ion binding [GO:0046872]; transketolase activity [GO:0004802],0
38,1gy7.A,P33331,NTF2 YER009W,Cytoplasm {ECO:0000269|PubMed:12065398}.,"Facilitates protein transport into the nucleus. Interacts with various nucleoporins and with Ran-GDP. Could be part of a multicomponent system of cytosolic factors that assemble at the pore complex during nuclear import. In vitro, the NTF2-Ran-GDP association, in the presence of GTP, triggers dissociation of the karyopherin alpha-beta complex, allowing nuclear translocation of karyopherin alpha and the NLS substrate. {ECO:0000269|PubMed:8600522}.",Ran GTPase binding [GO:0008536],0
39,1h4p.A,P23776,EXG1 BGL1 SCW6 YLR300W L8003.3,"Secreted, cell wall {ECO:0000269|PubMed:9748433}. Secreted {ECO:0000269|PubMed:9748433}.","Glucanases possibly play a role in cell expansion during growth, in cell-cell fusion during mating, and in spore release during sporulation. This enzyme hydrolyzes both 1,3-beta- and 1,6-beta-linkages and even has beta-glucosidase activity. It could also function biosynthetically as a transglycosylase.","glucan exo-1,3-beta-glucosidase activity [GO:0004338]",0
40,1h7n.A,P05373,HEM2 YGL040C,,"Catalyzes an early step in the biosynthesis of tetrapyrroles. Binds two molecules of 5-aminolevulinate per subunit, each at a distinct site, and catalyzes their condensation to form porphobilinogen.",porphobilinogen synthase activity [GO:0004655]; zinc ion binding [GO:0008270],0
41,1ho8.A,P41807,VMA13 CLS11 YPR036W YP3085.02,Vacuole membrane; Peripheral membrane protein.,"Vacuolar ATPases regulate the organelle acidity. This subunit is essential for activity, but not assembly, of the enzyme complex.","proton-transporting ATPase activity, rotational mechanism [GO:0046961]",0
42,1hr6.A,P11914,MAS2 MIF2 YHR024C,Mitochondrion matrix.,"Cleaves presequences (transit peptides) from mitochondrial protein precursors. The cleavage sites typically contain an arginine at position -2 (in the N-terminal portion) from the scissible peptide bond in addition to other distal basic residues, and an aromatic residue at position +1.",metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],0
43,1hr6.B,P10507,MAS1 MIF1 YLR163C L9632.10,Mitochondrion matrix.,Cleaves presequences (transit peptides) from mitochondrial protein precursors.,metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],0
44,1hv2.A,Q03071,ELC1 YPL046C,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,Prevents degradation of interacting proteins like PCL6 by the proteasome. {ECO:0000269|PubMed:11864988}.,,0
45,1i12.A,P43577,GNA1 PAT1 YFL017C,,,glucosamine 6-phosphate N-acetyltransferase activity [GO:0004343],0
46,1i4w.A,P14908,MTF1 YMR228W YM9959.10,"Mitochondrion intermembrane space {ECO:0000269|PubMed:16823961, ECO:0000269|PubMed:22984289}.",Mitochondrial transcription factor that confers selective promoter recognition on the core subunit of the yeast mitochondrial RNA polymerase. Interacts with DNA in a non-specific manner.,DNA binding [GO:0003677]; methyltransferase activity [GO:0008168]; mitochondrial sequence-specific DNA-binding transcription factor activity [GO:0034246]; RNA binding [GO:0003723],0
47,1ig0.A,P35202,THI80 YOR143C YOR3373C,,"Essential protein, it is the only enzyme in yeast capable of synthesizing thiamine pyrophosphate (TPP).",ATP binding [GO:0005524]; kinase activity [GO:0016301]; thiamine binding [GO:0030975]; thiamine diphosphokinase activity [GO:0004788],0
48,1ig8.A,P04807,HXK2 HEX1 HKB YGL253W NRB486,,Main glucose phosphorylating enzyme. May play a regulatory role in both induction and repression of gene expression by glucose.,ATP binding [GO:0005524]; fructokinase activity [GO:0008865]; glucokinase activity [GO:0004340]; glucose binding [GO:0005536]; hexokinase activity [GO:0004396]; mannokinase activity [GO:0019158],0
49,1jat.B,P53152,MMS2 YGL087C,,Has a role in the DNA error-free postreplication repair (PRR) pathway. Lacks catalytic activity by itself. The UBC13/MMS2 heterodimer catalyzes the synthesis of non-canonical poly-ubiquitin chains that are linked through 'Lys-63'.,ligase activity [GO:0016874]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625]; ubiquitin-protein transferase activity [GO:0004842],0
50,1jbb.A,P52490,UBC13 YDR092W YD6652.04,,Has a role in the DNA error-free postreplication repair (PRR) pathway. The UBC13/MMS2 heterodimer catalyzes the synthesis of non-canonical poly-ubiquitin chains that are linked through 'Lys-63'.,ATP binding [GO:0005524]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin protein ligase binding [GO:0031625],0
51,1jd1.A,P40037,HMF1 HIG1 YER057C,Cytoplasm. Nucleus. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}.,,,0
52,1jk0.A,P09938,RNR2 CRT6 YJL026W J1271,"Nucleus {ECO:0000269|PubMed:12732713, ECO:0000269|PubMed:18851834}. Note=Found predominantly in the nucleus under normal growth conditions and is redistributed to the cytoplasm in damaged cells in a DNA replication and damage checkpoint-dependent manner. Nuclear localization is mediated by DIF1.",Provides the precursors necessary for DNA synthesis. Catalyzes the biosynthesis of deoxyribonucleotides from the corresponding ribonucleotides. RNR2 provides the diiron-tyrosyl radical center. {ECO:0000269|PubMed:10535923}.,"ferrous iron binding [GO:0008198]; protein heterodimerization activity [GO:0046982]; ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor [GO:0004748]; zinc ion binding [GO:0008270]",0
53,1jk9.B,P40202,CCS1 LYS7 YMR038C YM9532.03C,Cytoplasm. Mitochondrion intermembrane space {ECO:0000269|PubMed:22984289}. Note=A small percentage (around 1-5 percent) localizes to the mitochondrial intermembrane space.,Copper chaperone for apo superoxide dismutase 1 (SOD1). Binds copper ions and delivers them specifically to apo-SOD1. {ECO:0000269|PubMed:9295278}.,superoxide dismutase copper chaperone activity [GO:0016532]; zinc ion binding [GO:0008270],0
54,1jvn.A,P33734,HIS7 YBR248C YBR1640,,"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The glutamine amidotransferase domain provides the ammonia necessary to the cyclase domain to produce IGP and AICAR from PRFAR.",glutaminase activity [GO:0004359]; imidazoleglycerol-phosphate synthase activity [GO:0000107]; oxo-acid-lyase activity [GO:0016833],0
55,1jzt.A,P40165,YNL200C N1370,Cytoplasm. Mitochondrion.,"Catalyzes the epimerization of the S- and R-forms of NAD(P)HX, a damaged form of NAD(P)H that is a result of enzymatic or heat-dependent hydration. This is a prerequisite for the S-specific NAD(P)H-hydrate dehydratase to allow the repair of both epimers of NAD(P)HX. {ECO:0000255|HAMAP-Rule:MF_03159, ECO:0000269|PubMed:21994945}.",metal ion binding [GO:0046872]; NADHX epimerase activity [GO:0052856]; NADPHX epimerase activity [GO:0052857]; nucleotide binding [GO:0000166],0
56,1ka1.A,P32179,MET22 HAL2 YOL064C,Cytoplasm {ECO:0000269|PubMed:14562095}. Nucleus {ECO:0000269|PubMed:14562095}.,Converts adenosine 3'-phosphate 5'-phosphosulfate (PAPS) to adenosine 5'-phosphosulfate (APS) and 3'(2')-phosphoadenosine 5'- phosphate (PAP) to AMP. Regulates the flux of sulfur in the sulfur-activation pathway by converting PAPS to APS. Involved in salt tolerance. Confers resistance to lithium.,"3'(2'),5'-bisphosphate nucleotidase activity [GO:0008441]; metal ion binding [GO:0046872]",0
57,1kbi.A,P00175,CYB2 YML054C YM9958.08C,"Mitochondrion intermembrane space {ECO:0000269|PubMed:11502169, ECO:0000269|PubMed:22984289}.",,heme binding [GO:0020037]; L-lactate dehydrogenase (cytochrome) activity [GO:0004460]; metal ion binding [GO:0046872],0
